Time,Hour,Minute,電池_SOC(%),供電模式,EP_匯流排電壓_L1(V),EP_匯流排電壓_L2(V),EP_總電流_L1(A),EP_總電流_L2(A),L1_匯流排電壓_L1(V),L1_匯流排電壓_L2(V),L1_總電流_L1(A),L1_總電流_L2(A),L2_匯流排電壓_L1(V),L2_匯流排電壓_L2(V),L2_總電流_L1(A),L2_總電流_L2(A),L3_匯流排電壓_L1(V),L3_匯流排電壓_L2(V),L3_總電流_L1(A),L3_總電流_L2(A),總電錶T_當前累積功率(kWh),PV電錶_當前累積功率(kWh),A電錶_當前累積功率(kWh),B電錶_當前累積功率(kWh),C電錶_當前累積功率(kWh),D電錶_當前累積功率(kWh)
00:00,0,0,46.46,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00107,-0.0,-0.43662,0.12507,0.17507,0.13755
00:15,0,15,42.92,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00216,-0.0,-0.87321,0.25014,0.35014,0.27509
00:30,0,30,39.37,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00325,-0.0,-1.3098,0.37521,0.52521,0.41264
00:45,0,45,35.83,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00434,-0.0,-1.74639,0.50028,0.70028,0.55018
01:00,1,0,32.29,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00544,-0.0,-2.18299,0.62534,0.87535,0.68773
01:15,1,15,28.75,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00653,-0.0,-2.61958,0.75041,1.05042,0.82527
01:30,1,30,25.21,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00762,-0.0,-3.05617,0.87548,1.22549,0.96282
01:45,1,45,21.67,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00871,-0.0,-3.49276,1.00055,1.40056,1.10036
02:00,2,0,20.0,市電供電,109.751,109.757,7.73,8.19,109.674,109.677,2.28,2.28,109.666,109.669,3.19,3.19,109.672,109.675,2.51,2.51,0.00981,-0.0,-3.92935,1.12562,1.57563,1.23791
02:15,2,15,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,0.64763,-0.0,-3.72923,1.25069,1.7507,1.37545
02:30,2,30,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,1.28546,-0.0,-3.52911,1.37576,1.92577,1.513
02:45,2,45,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,1.92329,-0.0,-3.32899,1.50082,2.10084,1.65055
03:00,3,0,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,2.56112,-0.0,-3.12886,1.62589,2.27591,1.78809
03:15,3,15,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,3.19896,-0.0,-2.92874,1.75096,2.45098,1.92564
03:30,3,30,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,3.83679,-0.0,-2.72862,1.87603,2.62604,2.06318
03:45,3,45,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,4.47462,-0.0,-2.52849,2.0011,2.80111,2.20073
04:00,4,0,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,5.11245,-0.0,-2.32837,2.12617,2.97618,2.33827
04:15,4,15,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,5.75028,-0.0,-2.12825,2.25124,3.15125,2.47582
04:30,4,30,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,6.38811,-0.0,-1.92813,2.37631,3.32632,2.61336
04:45,4,45,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,7.02594,-0.0,-1.728,2.50137,3.50139,2.75091
05:00,5,0,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,7.66378,-0.0,-1.52788,2.62644,3.67646,2.88846
05:15,5,15,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,8.30161,-0.0,-1.32776,2.75151,3.85153,3.026
05:30,5,30,20.0,市電供電,109.527,109.534,3.88,3.42,109.535,109.538,2.28,2.28,109.527,109.529,3.2,3.2,109.533,109.536,2.51,2.51,8.93944,-0.0,-1.12764,2.87658,4.0266,3.16355
